,Unnamed: 0,TEST ID,TEST CASE,PRE-CONDITIONS,PRECEDENCE,COMPLEXITY,PRECON_COUNT,WEIGHTAGE,Diff
42,42,PAY_INIT_001,Check load of Payment page,PAY_BUTTON_002,H,9,22,206.1,-197.2560115814209
6,6,HOME_001,Test load of Home Page,LOAD_001,H,9,16,152.1,-143.50900707244872
0,0,LOAD_001,Test Page load functionality through URL,None,H,8,12,103.2,-95.03576583862305
73,73,PAY_PORTAL_003,Test redirect to Confirmation Page,PAY_PORTAL_002,H,8,8,71.2,-63.06327457427979
72,72,PAY_PORTAL_002,Test Transaction confirmation,PAY_INIT_002,H,10,6,69.0,-60.090436935424805
49,49,PAYMENT_OPT_003,Test display of Options based on method,PAY_INIT_001,M,4,15,62.0,-55.41739225387573
70,70,PAY_INIT_002,Test payment initiation,PAY_BUTTON_002,H,9,6,62.1,-53.578846549987794
41,41,PAY_BUTTON_002,Test Pay button functionality,PAY_BUTTON_001,M,4,13,54.0,-47.30624723434448
75,75,CONFIRM_001,Test load of Confirmation Page,PAY_PORTAL_003,M,5,6,32.5,-24.952383995056152
64,64,UPI_002,Test choose of UPI option,UPI_001,H,6,4,29.4,-22.048056983947752
89,89,EVENT_DETAIL_001,Test load of Page for particular event,None,H,6,4,29.4,-22.048056983947752
38,38,SEATS_003,Test choose seat from layout,SEATS_002,H,10,2,29.0,-20.09839916229248
37,37,SEATS_002,Check view of seat layout,SEATS_001,H,9,2,26.1,-17.58680877685547
35,35,SHOWTIME_002,Test Choice of Showtime,SHOWTIME_001,H,6,3,23.4,-16.050047302246092
28,28,MOVIE_LOAD_001,Test load page for Particular Movie,None,H,6,3,23.4,-16.050047302246092
32,32,BOOK_LOAD_001,Test load Page for booking ticket,None,M,7,3,24.5,-15.845951080322266
92,92,EVENT_DETAIL_004,Test Book button Functionality,EVENT_DETAIL_001,L,7,3,21.7,-15.394174766540527
11,11,SIGN_IN_001,Check initiation of Sign In,HOME_001,H,3,6,20.700000000000003,-13.918248367309573
63,63,UPI_001,Check display of UPI options,PAYMENT_OPT_003,L,3,6,18.3,-13.46747808456421
21,21,CATEGORY_001,Test Choose Category Functionality,HOME_001,M,6,3,21.0,-12.81717300415039
18,18,SEARCHBAR_001,Check Input of Searchbar,HOME_001,H,3,5,17.700000000000003,-10.974278640747073
96,96,BOOK_EVENT_004,Test choice of seats,BOOK_EVENT_003,H,10,1,19.0,-10.100390434265137
57,57,MOB_WALLET_002,Test make choice of Wallet option,PAYMENT_OPT_003,H,5,2,14.5,-7.493379592895508
62,62,VOUCHER_003,Check if voucher has been applied,VOUCHER_003,M,5,2,12.5,-4.733733177185059
36,36,SEATS_001,Test choice of Number of Seats,SHOWTIME_002,L,3,3,9.3,-4.365010070800782
34,34,SHOWTIME_001,Check view of Showtimes & Cinema,BOOK_LOAD_001,M,4,2,10.0,-2.704955577850342
95,95,BOOK_EVENT_003,Test Add & Remove person functionality,BOOK_EVENT_001,M,4,2,10.0,-2.7049546241760254
25,25,RECOMMEND_001,Check Recommended list while Search,SEARCHBAR_001,M,7,1,10.5,-1.7366247177124023
5,5,SELECT_CITY_003,Test City Choice from Region List,LOAD_001,H,4,1,7.6,-0.8513322830200192
3,3,SELECT_CITY_001,Test City Choice using Icons,LOAD_001,M,6,1,9.0,-0.7078475952148438
93,93,BOOK_EVENT_001,Check view of Event time,EVENT_DETAIL_004,M,2,3,7.0,-0.7020626068115234
85,85,SESSION_002,Test Session Timeout,PAY_INIT_001,M,3,2,7.5,-0.6761770248413086
39,39,SEATS_004,Test lock of chosen seats,SEATS_001,H,10,0,9.0,-0.10238075256347656
20,20,SEARCHBAR_003,Test Search Functionality,SEARCHBAR_001,H,10,0,9.0,-0.10238075256347656
4,4,SELECT_CITY_002,Test Search City using Search Bar,LOAD_001,M,5,1,7.5,0.32092952728271484
15,15,SIGN_UP_002,Test Sign Up functionality,SIGN_UP_001,H,8,0,7.2,0.9207990646362303
12,12,LOGIN_001,Test Login functionality,SIGN_IN_001,H,8,0,7.2,0.9207990646362303
71,71,PAY_PORTAL_001,Test load of Payment Portal Page,PAY_INIT_002,H,8,0,7.2,0.9207990646362303
40,40,PAY_BUTTON_001,Check display of Pay button ,SEATS_003,L,1,3,3.1,1.2189554214477538
14,14,SIGN_UP_001,Check switch to Sign Up button,SIGN_IN_001,M,2,2,5.0,1.3526005744934082
76,76,CONFIRM_002,Check confirmed movie details display,CONFIRM_001,H,7,0,6.3,1.4323894500732424
98,98,EVENT_CONFIRM_002,Test transfer to Confirmation Page after payment,PAY_PORTAL_003,H,7,0,6.3,1.4323894500732424
51,51,CARD_001,Check Make Payment button function,PAYMENT_OPT_003,H,6,0,5.4,1.94398078918457
97,97,EVENT_CONFIRM_001,Test transfer to Payment Init,BOOK_EVENT_004,H,6,0,5.4,1.94398078918457
33,33,BOOK_DATE_001,Test Date Choice for show,BOOK_LOAD_001,H,6,0,5.4,1.94398078918457
46,46,CONTACT_001,Test input of contact details,PAY_INIT_001,H,6,0,5.4,1.94398078918457
66,66,UPI_004,Test Input of Mobile Number,UPI_002,H,5,0,4.5,2.4555702209472656
67,67,UPI_005,Test Input of UPI ID,UPI_002,H,5,0,4.5,2.4555702209472656
69,69,UPI_007,Check Make Payment button function,UPI_002,H,5,0,4.5,2.4555702209472656
55,55,NET_BANK_004,Check Make Payment button function,PAYMENT_OPT_003,H,5,0,4.5,2.4555702209472656
78,78,CONFIRM_004,Check confirmed tickets display,CONFIRM_001,H,5,0,4.5,2.4555702209472656
84,84,SESSION_001,Check display of Session Timer,PAY_INIT_001,L,2,1,2.2,2.495284366607666
77,77,CONFIRM_003,Check confirmed showtime display,CONFIRM_001,H,4,0,3.6,3.1063312530517577
59,59,MOB_WALLET_004,Check Make Payment button function,MOB_WALLET_002,H,4,0,3.6,3.1063312530517577
68,68,UPI_006,Test Input of Bank Name,UPI_002,H,4,0,3.6,3.1063312530517577
1,1,LOAD_002,Test Page Reload without crashes,None,H,3,0,2.7,3.790714073181152
86,86,SESSION_003,Check display of Timeout Message,SESSION_002,M,1,1,1.5,4.436041355133057
99,99,HELP_001,Test help link functionality,HOME_001,L,2,0,0.2,4.529440689086914
43,43,SHOWTIME_003,Test display of Showtime selected,PAY_INIT_001,L,2,0,0.2,4.529440689086914
10,10,HOME_005,Test Return to Home Page on Logo Click,HOME_001,L,2,0,0.2,4.529440689086914
17,17,LOGIN_003,Check switch to Login Button,SIGN_IN_001,L,2,0,0.2,4.529440689086914
2,2,LOAD_003,Test 404 Error for Invalid URL in domain,None,L,3,0,0.3,4.737458419799805
44,44,TICKET_DETAILS_001,Test dispaly of Ticket Details,PAY_INIT_001,L,3,0,0.3,4.737458419799805
27,27,RECOMMEND_003,Test Filters in Recommended list,RECOMMEND_001,L,5,0,0.5,5.1534929275512695
16,16,SIGN_UP_003,Test Sign Up API Integration,SIGN_UP_001,M,8,0,4.0,5.289259910583496
13,13,LOGIN_002,Test Login API,SIGN_IN_001,M,8,0,4.0,5.289259910583496
74,74,PAY_PORTAL_004,Test redirect on cancelled transaction,PAY_PORTAL_002,M,7,0,3.5,5.318037986755371
81,81,CONFIRM_007,Check confirmed Booking ID display,CONFIRM_001,M,7,0,3.5,5.318037986755371
23,23,CATEGORY_002,Test Category change while search,SEARCHBAR_001,M,7,0,3.5,5.318037986755371
53,53,NET_BANK_002,Test make choice of Bank from icon,PAYMENT_OPT_003,M,6,0,3.0,5.346816062927246
8,8,HOME_003,Test load of Home Page after City Search Choice,SELECT_CITY_002,M,6,0,3.0,5.346816062927246
83,83,CONFIRM_009,Test SMS of confirmation,PAY_PORTAL_002,M,6,0,3.0,5.346816062927246
82,82,CONFIRM_008,Test Mail of confirmation,PAY_PORTAL_002,M,6,0,3.0,5.346816062927246
7,7,HOME_002,Test load of Home Page after City Icon Choice,SELECT_CITY_001,M,6,0,3.0,5.346816062927246
48,48,PAYMENT_OPT_002,Test choice of Payment method,PAY_INIT_001,M,6,0,3.0,5.346816062927246
91,91,EVENT_DETAIL_003,Test Event venue map function,EVENT_DETAIL_001,L,6,0,0.6000000000000001,5.3615106582641605
58,58,MOB_WALLET_003,Check code display,MOB_WALLET_002,L,6,0,0.6000000000000001,5.3615106582641605
54,54,NET_BANK_003,Test make choice of Bank from list,PAYMENT_OPT_003,M,5,0,2.5,5.375593185424805
60,60,VOUCHER_001,Test Voucher input,PAYMENT_OPT_003,M,5,0,2.5,5.375593185424805
9,9,HOME_004,Test load of Home Page after Region List Choice,SELECT_CITY_003,M,5,0,2.5,5.375593185424805
50,50,CARD_001,Test input of Card Details,PAYMENT_OPT_003,M,5,0,2.5,5.375593185424805
79,79,CONFIRM_005,Check QR code generation,CONFIRM_001,M,4,0,2.0,5.4043707847595215
65,65,UPI_003,Test choice of Other UPI option,UPI_001,M,4,0,2.0,5.4043707847595215
45,45,TICKET_AMOUNT_001,Test display of Payable amount,PAY_INIT_001,M,4,0,2.0,5.4043707847595215
47,47,PAYMENT_OPT_001,Test display of Payment methods,PAY_INIT_001,M,4,0,2.0,5.4043707847595215
31,31,BOOK_TICKETS_001,Test Book Ticket button Functionality,MOVIE_LOAD_001,M,4,0,2.0,5.40437126159668
24,24,SEARCHBAR_004,Test Search Results based on chosen Category,CATEGORY_001,M,3,0,1.5,5.433149337768555
94,94,BOOK_EVENT_002,Check view of Ticket prices,BOOK_EVENT_001,M,3,0,1.5,5.433149337768555
90,90,EVENT_DETAIL_002,Check view of Event details,EVENT_DETAIL_001,M,3,0,1.5,5.433149337768555
88,88,SESSION_005,Test Timer reset,SESSION_001,M,3,0,1.5,5.433149337768555
87,87,SESSION_004,Test Start Again button function,SESSION_003,M,3,0,1.5,5.433149337768555
22,22,HOME_006,Test load of Home Page after Category choice,CATEGORY_001,M,3,0,1.5,5.433149337768555
56,56,MOB_WALLET_001,Check dispaly of mobile wallet options,PAYMENT_OPT_003,M,3,0,1.5,5.433149337768555
52,52,NET_BANK_001,Test display of Bank Options,PAYMENT_OPT_003,M,3,0,1.5,5.433149337768555
19,19,SEARCHBAR_002,Check Return back to Home,SEARCHBAR_001,M,2,0,1.0,5.461926460266113
61,61,VOUCHER_002,Check Apply button,PAYMENT_OPT_003,M,2,0,1.0,5.461926460266113
30,30,MOVIE_DETAILS_002,Check view of Rating of a Movie,MOVIE_LOAD_001,M,2,0,1.0,5.461926460266113
29,29,MOVIE_DETAILS_001,Check view of Details of a Movie,MOVIE_LOAD_001,M,2,0,1.0,5.461926460266113
80,80,CONFIRM_006,Check QR code display,CONFIRM_001,M,1,0,0.5,5.49070405960083
26,26,RECOMMEND_002,Test change of Recommendation after Category,CATEGORY_001,L,8,0,0.8,6.006731700897217
